Melanotaenia sexlineata	6
Melanotaenia papuae	3
Melanotaenia maccullochi	3
Melanotaenia lacustris	18
Melanotaenia herbertaxelrodi	3
Melanotaenia goldiei	105
Melanotaenia cf.	1
Melanotaenia batanta	11
Melanotaenia angfa	42
Melanotaenia affinis	6
Glossolepis ramuensis	1
Glossolepis pseudoincisus	3
Glossolepis maculosus	1
Glossolepis dorityi	4
Chilatherina fasciata	63
Chilatherina campsi	3
Chilatherina bleheri	6
Chilatherina sp.	7
Melanotaenia sp.	68
Cairnsichthys rhombosomoides	4
Glossolepis incisus	23
Milyeringa justitia	3
Scleropages formosus	531
Scleropages leichardti	9
Scleropages jardinii	29
Osteoglossum ferreirai	14
Osteoglossum bicirrhosum	56
Heterotis niloticus	33
Arapaima gigas	132
Percalates colonorum	16
Percalates novemaculeata	22
Macquaria wujalwujalensis	1
Nannoperca oxleyana	14
Nannatherina balstoni	13
Maccullochella peelii	50
Nannoperca australis	35
Nannoperca obscura	23
Macquaria ambigua	59
Macquaria australasica	86
Maccullochella macquariensis	42
Gadopsis marmoratus	53
Gadopsis bispinosus	29
Nannoperca variegata	24
Maccullochella mariensis	12
Maccullochella ikei	26
Nannoperca vittata	26
Bostockia porosa	28
Nannoperca pygmaea	6
Monopterus javanensis	214
Monopterus sp.	4
Synbranchus sp.	3
Synbranchus marmoratus	185
Ophisternon infernale	4
Monopterus albus	936
Toxotes jaculatrix	70
Toxotes chatareus	39
Prionurus scalprum	23
Naso tonganus	30
Acanthurus dussumieri	82
Acanthurus xanthopterus	152
Acanthurus blochii	45
Naso hexacanthus	261
Zebrasoma xanthurum	34
Naso brevirostris	97
Acanthurus lineatus	181
Ctenochaetus striatus	370
Zebrasoma scopas	122
Naso lituratus	151
Acanthurus nigricans	79
Paracanthurus hepatus	74
Ctenochaetus binotatus	74
Zebrasoma velifer	90
Acanthurus nigrofuscus	255
Acanthurus leucocheilus	20
Naso annulatus	29
Acanthurus nigricauda	121
Naso vlamingii	41
Acanthurus mata	99
Naso mcdadei	10
Acanthurus pyroferus	58
Naso thynnoides	32
Ctenochaetus cyanocheilus	7
Naso fageni	12
Acanthurus bariene	27
Zebrasoma flavescens	43
Naso minor	10
Naso unicornis	93
Acanthurus maculiceps	5
Ctenochaetus hawaiiensis	4
Naso lopezi	35
Acanthurus nigros	5
Acanthurus achilles	17
Ctenochaetus flavicauda	29
Acanthurus nubilus	11
Acanthurus thompsoni	34
Acanthurus guttatus	39
Ctenochaetus strigosus	32
Acanthurus nigroris	11
Acanthurus leucopareius	20
Acanthurus sohal	83
Acanthurus leucosternon	51
Prionurus punctatus	67
Acanthurus auranticavus	10
Naso elegans	41
Acanthurus japonicus	22
Acanthurus monroviae	4
Naso brachycentron	14
Naso tergus	1
Naso maculatus	4
Prionurus microlepidotus	13
Prionurus maculatus	12
Prionurus laticlavius	71
Naso tuberosus	15
Trinectes maculatus	31
Gymnachirus nudus	7
Trinectes paulistanus	22
Trinectes microphthalmus	9
Trinectes inscriptus	13
Hypoclinemus mentalis	26
Catathyridium garmani	1
Catathyridium jenynsii	18
Apionichthys dumerili	7
Apionichthys finis	6
Achirus mucuri	4
Achirus lineatus	55
Achirus declivis	15
Achirus achirus	13
Gymnachirus melas	3
Gymnachirus texae	6
Rhombosolea retiaria	1
Rhombosolea leporina	12
Oncopterus darwinii	11
Mancopsetta maculata	47
Colistium guentheri	1
Ammotretis rostratus	19
Rhombosolea tapirina	24
Acipenser transmontanus	24
Acipenser medirostris	25
Scaphirhynchus platorynchus	19
Scaphirhynchus albus	23
Pseudoscaphirhynchus kaufmanni	14
Pseudoscaphirhynchus hermanni	8
Acipenser brevirostrum	32
Acipenser oxyrinchus	41
Acipenser ruthenus	133
Acipenser dabryanus	99
Acipenser naccarii	23
Acipenser sturio	15
Huso dauricus	42
Acipenser baerii	79
Acipenser gueldenstaedtii	62
Acipenser stellatus	40
Acipenser sinensis	51
Huso huso	24
Acipenser schrenckii	48
Acipenser persicus	16
Acipenser nudiventris	29
Acipenser mikadoi	8
Acipenser fulvescens	23
Scaphirhynchus suttkusi	7
Acipenser sp.	7
Parascombrops philippinensis	11
Parascombrops serratospinosus	5
Parascombrops spinosus	32
Acropoma hanedai	15
Synagrops japonicus	80
Verilus pacificus	4
Doederleinia berycoides	281
Acropoma japonicum	39
Parascombrops nakayamai	4
Parascombrops analis	1
Acropoma lecorneti	1
Synagrops bellus	42
Ulcina olrikii	32
Hypsagonus quadricornis	15
Podothecus veternus	19
Tilesina gibbosa	3
Podothecus sachi	6
Agonomalus proboscidalis	3
Occella iburia	1
Podothecus accipenserinus	31
Percis japonica	6
Pallasina barbata	18
Occella dodecaedron	4
Sarritor leptorhynchus	6
Sarritor frenatus	8
Hypsagonus jordani	1
Hypsagonus corniger	2
Brachyopsis segaliensis	2
Bothragonus occidentalis	3
Bathyagonus nigripinnis	19
Aspidophoroides monopterygius	33
Podothecus sturioides	5
Freemanichthys thompsoni	2
Blepsias bilobus	6
Blepsias cirrhosus	22
Nautichthys pribilovius	21
Nautichthys oculofasciatus	14
Hemitripterus americanus	25
Bathyagonus alascanus	9
Agonopsis sterletus	2
Odontopyxis trispinosa	8
Xeneretmus leiops	6
Stellerina xyosterna	6
Xeneretmus ritteri	2
Agonomalus mozinoi	1
Chesnonia verrucosa	8
Bathyagonus pentacanthus	20
Agonus cataphractus	28
Leptagonus decagonus	23
Hemitripterus villosus	40
Anoplagonus occidentalis	2
Bathyagonus infraspinatus	13
Anoplagonus inermis	5
Agonopsis vulsa	16
Xeneretmus latifrons	19
Hemitripterus bolini	8
Albula pacifica	1
Albula argentea	3
Albula goreensis	147
Albula koreana	5
Albula glossodonta	32
Albula virgata	1
Pterothrissus gissu	23
Albula vulpes	299
Omosudis lowii	67
Alepisaurus ferox	67
Anotopterus pharao	17
Talismania bifurcata	46
Alepocephalus tenebrosus	100
Bajacalifornia burragei	7
Xenodermichthys copei	60
Talismania antillarum	16
Narcetes shonanmaruae	19
Rouleina attrita	24
Rouleina maderensis	7
